menu,description,menu-img-link,tag,price
โทสแฮมชีส,ขนมปังปิ้งแบบอเมริกัน คลาสสิก ทาเนย ใส่แฮมและชีสเยิ้มๆ,,toast,
ปังญวนเนยกระเทียม,ขนมปังญวนโฮมเมทกรอบนอกนุ่มในสอดไส้เนยกระเทียมหอมๆ,,toast,
ปังญวนเนยนม,ขนมปังญวนโฮมเมดสอดไส้เนย และนมข้นหวาน,,toast,
ปังปิ้งนูเทลล่าอัลม่อนด์,ขนมปังปิ้งกรอบนอกนุ่มใน ทาด้วยนูเทลล่ารสชาติเข้มข้น หอมมัน และโรยด้วยอัลมอนด์สไลซ์ เพิ่มความกรุบกรอบและกลิ่นหอม,https://img.wongnai.com/p/256x256/2022/09/07/24cd68ac1f704c9daa38e8999578a684.jpg  ,toast,
นมสด,นมวัวแท้ รสชาติหอมมันสดชื่น,,milk,
นมชมพู,นมชมพูแบบไทยๆ,,milk,
โอวัลตินนมสด,เครื่องดื่มช็อกโกแลตมอลต์ คลาสสิก หวานมัน,,milk,
ช็อกโกแลตนมสด,เครื่องดื่มช็อกโกแลตเข้มข้น หวานหอม,,milk,
โกโก้นมสด,โกโก้นมสดรสชาติเข้มข้น หวานมัน,,milk,
ชาไทยนมสด,ชาไทยหอมเข้มข้นผสมกับนมสด รสชาติกลมกล่อมแบบไทยๆ,,milk,
ชาเขียวนมสด,ชาเขียวเข้มข้นผสมกับนมสด,,milk,
คาราเมลนมสด,นมสดผสมคาราเมล หวานมัน หอมกลิ่นคาราเมล,,milk,
โอริโอ้นมสดปั่น,นมสดปั่นผสมกับคุกกี้โอริโอ้แสนอร่อย,,milk,
นมสตอร์เบอร์รี่เกาหลี (250 ml),นมสตอเบอร์รี่รสชาติเข้มข้น สไตล์เกาหลี,,milk,
เอสเพรสโซ่เย็น,กาแฟดำใส่น้ำแข็งและนม ดื่มง่าย สไตล์ไทย,,coffee,
อเมริกาโน่เย็น,กาแฟดำใส่น้ำแข็ง ดื่มง่าย สไตล์ไทย,https://img.wongnai.com/p/256x256/2021/05/10/96723df27f544e2188b6a9ae9704d741.jpg  ,coffee,
คาปูชิโน่เย็น,กาแฟดำผสมและฟองนม,https://img.wongnai.com/p/256x256/2021/05/10/880edcdedaa941dc91209a3bcd3aa7d6.jpg  ,coffee,
ลาเต้เย็น,กาแฟดำผสมนม,https://img.wongnai.com/p/256x256/2021/05/10/e39176ddf91149189132dd698cdc3a45.jpg  ,coffee,
ม็อคค่าเย็น,กาแฟดำโซ่ผสมซอสช็อกโกแลต และนมสด,https://img.wongnai.com/p/256x256/2021/05/10/7690e48a820a43b8b0c98c3613a065ab.jpg  ,coffee,
คาราเมลมัคคิอาโต้เย็น,กาแฟดำผสมซอสคาราเมล และนมสด,https://img.wongnai.com/p/256x256/2021/05/10/8c5c7568e31d4fefbe49071e0865c7e0.jpg  ,coffee,
เอสเพรสโซ่ปั่น,กาแฟเข้มข้น ปั่นละเอียด,,coffee,
อเมริกาโน่ปั่น,กาแฟดำปั่นละเอียด,,coffee,
คาปูชิโน่ปั่น,กาแฟเอสเพรสโซ่ปั่นผสมนม และฟองนม,,coffee,
ลาเต้ปั่น,กาแฟเอสเพรสโซ่ปั่นผสมนม,,coffee,
ม็อคค่าปั่น,กาแฟเอสเพรสโซ่ปั่นผสมซอสช็อกโกแลต และนม,,coffee,
น้ำดื่มคริสตัล,,,drinks,
โค้กกระป๋อง,,https://img.wongnai.com/p/256x256/2021/10/12/331308044f7948acb35f4a82d8dd2e07.jpg  ,drinks,
โออิชิ กรีนที รสต้นตำหรับ,,https://img.wongnai.com/p/256x256/2021/10/12/1653a4df53034b1dbe1fabf81e5b7606.jpg  ,drinks,
โออิชิกรีนที รสข้าวญี่ปุ่น,,https://img.wongnai.com/p/256x256/2021/10/12/f04fddef79d64448905f3bdcc1f1b099.jpg  ,drinks,
โออิชิ กรีนที รสน้ำผึ้งมะนาว,,,drinks,
น้ำส้ม,น้ำส้มคั้นสด 250 มล ไม่ปรุงแต่ง เปรี้ยวหวานตามฤดูกาล,,drinks,
นูเทลล่าบานอฟฟี่,ขนมหวานสุดคลาสสิกที่นำมาตีความใหม่ด้วยนูเทลล่าเข้มข้น หอมกลิ่นกล้วยหอมสุกงอม ผสานกับความหวานมันของครีมสด และความกรอบของฐานบิสกิต ทำให้ได้รสชาติที่ลงตัว หวานมันกำลังดี,,sweets,
บราวนี่กรอบอัลมอนด์,บราวนี่อบกรอบแผ่นบาง 100 กรัม,https://img.wongnai.com/p/256x256/2023/12/22/96009daad2774d85b329eb865b6f8678.jpg  ,sweets,
ชีสทาร์ตสับปะรด (4ชิ้น),ชีสเค้กเนื้อเนียนนุ่ม หวานละมุน ผสมผสานกับความเปรี้ยวสดชื่นของสับปะรด ทำให้ได้รสชาติที่ไม่เลี่ยน กินคู่กับฐานทาร์ตกรอบๆ เพิ่มความอร่อย,https://img.wongnai.com/p/256x256/2024/01/08/a0ded3672b9d479eb8cfe2488990fc7c.jpg  ,sweets,
ชีสทาร์ตสับปะรด (9 ชิ้น),ชีสเค้กเนื้อเนียนนุ่ม หวานละมุน ผสมผสานกับความเปรี้ยวสดชื่นของสับปะรด ทำให้ได้รสชาติที่ไม่เลี่ยน กินคู่กับฐานทาร์ตกรอบๆ เพิ่มความอร่อย ,https://img.wongnai.com/p/256x256/2024/01/08/f0402818e66541408fc7d4339042621c.jpg  ,sweets,
เบเกิล,เบเกิลโฮมเมดนุ่มหนึบๆปลอดสารเสริมทุกชนิด,https://img.wongnai.com/p/256x256/2023/09/07/c70151dcded1404080c5948b7bb868cc.jpg  ,sweets,
ปังกรอบเนยกระเทียม,ขนมปังอบกรอบหวานนิเค็มหน่อยหอมกลิ่นเนยกระเทียม,https://img.wongnai.com/p/256x256/2024/01/08/a1eda69f1def4d77a5e4ea5295c74489.jpg  ,sweets,
ปังกรอบเนยหนึบอัลม่อน,ขนมปังที่อบจนกรอบนอกนุ่มใน หอมกลิ่นเนยสดใหม่ และมีอัลมอนด์สไลซ์เพิ่มความกรุบกรอบและกลิ่นหอม ทำให้ได้รสชาติที่หวานมัน กินเพลิน,https://img.wongnai.com/p/256x256/2024/01/08/33d07870d6e748e6a1d0493197a6957d.jpg  ,sweets,
